,year,rank,team,points,year,rank,team,points,year,rank,team,points,year,rank,team,points,year,team,total.games,total.wins,total.losses,total.ties,team,total.games,total.wins,total.losses,total.ties,team,total.games,total.wins,total.losses,total.ties,team,total.games,total.wins,total.losses,total.ties,season,team,totalPPA,percentPPA
101,2014,102,Ohio,105.12,2015,102,Kent State,119.93,2016,102,North Texas,122.36,2017,102,Louisiana Monroe,121.55,2014,Texas State,12,7,5,0,Texas A&M,13,8,5,0,Texas A&M,13,8,5,0,Texas,13,7,6,0,2018,Texas,196.1,0.651
102,2014,103,North Texas,105.0,2015,103,UT San Antonio,119.88,2016,103,UT San Antonio,120.32,2017,103,Ohio,120.83,2014,Texas Tech,12,4,8,0,Texas State,12,3,9,0,Texas State,12,2,10,0,Texas A&M,13,7,6,0,2018,Texas A&M,244.5,0.613
103,2014,104,Yale,103.87,2015,104,Bowling Green,119.83,2016,104,Florida International,119.8,2017,104,Utah State,120.0,2014,Toledo,13,9,4,0,Texas Tech,13,7,6,0,Texas Tech,12,5,7,0,Texas State,12,2,10,0,2018,Texas State,75.5,0.37
104,2014,105,Georgia State,102.91,2015,105,Ball State,119.7,2016,105,Nevada,118.76,2017,105,Georgia State,119.23,2014,Troy,12,3,9,0,Toledo,12,10,2,0,Toledo,13,9,4,0,Texas Tech,13,6,7,0,2018,Texas Tech,78.0,0.153
105,2014,106,Bowling Green,102.64,2015,106,UNLV,119.46,2016,106,Louisiana,115.83,2017,106,Georgia Southern,118.78,2014,Tulane,12,3,9,0,Troy,12,4,8,0,Troy,13,10,3,0,Toledo,14,11,3,0,2018,Toledo,294.3,0.531
106,2014,107,Louisiana,102.49,2015,107,UMass,118.12,2016,107,Central Michigan,112.52,2017,107,Appalachian State,116.78,2014,Tulsa,12,2,10,0,Tulane,12,3,9,0,Tulane,12,4,8,0,Troy,13,11,2,0,2018,Troy,165.4,0.411
107,2014,108,Navy,101.9,2015,108,Louisiana Monroe,116.67,2016,108,Hawai'i,111.87,2017,108,UAB,115.95,2014,UAB,12,6,6,0,Tulsa,13,6,7,0,Tulsa,13,10,3,0,Tulane,12,5,7,0,2018,Tulane,262.9,0.845
108,2014,109,Florida International,100.66,2015,109,Tulsa,116.08,2016,109,Appalachian State,111.72,2017,109,Air Force,115.88,2014,UCF,13,9,4,0,UCF,12,0,12,0,UCF,13,6,7,0,Tulsa,12,2,10,0,2018,Tulsa,205.8,0.74
109,2014,110,Connecticut,98.31,2015,110,Old Dominion,115.65,2016,110,Texas State,111.71,2017,110,UMass,115.82,2014,UCLA,13,10,3,0,UCLA,13,8,5,0,UCLA,12,4,8,0,UAB,13,8,5,0,2018,UAB,282.1,0.956
110,2014,111,Utah State,97.8,2015,111,Western Kentucky,115.65,2016,111,Bowling Green,111.58,2017,111,Arkansas State,114.91,2014,UMass,12,3,9,0,UMass,12,3,9,0,UMass,12,2,10,0,UCF,13,13,0,0,2018,UCF,506.9,0.773
111,2014,112,Air Force,97.78,2015,112,Navy,114.7,2016,112,Northern Illinois,111.4,2017,112,Tulane,114.66,2014,UNLV,13,2,11,0,UNLV,12,3,9,0,UNLV,12,4,8,0,UCLA,13,6,7,0,2018,UCLA,174.9,0.345
112,2014,113,Akron,97.33,2015,113,Wyoming,114.32,2016,113,Ball State,110.91,2017,113,Buffalo,112.97,2014,USC,13,9,4,0,USC,14,8,6,0,USC,13,10,3,0,UMass,12,4,8,0,2018,UMass,380.0,0.862
113,2014,114,UAB,96.13,2015,114,Appalachian State,112.03,2016,114,Air Force,110.9,2017,114,Charlotte,111.82,2014,Utah,13,9,4,0,Utah,13,10,3,0,Utah,13,9,4,0,UNLV,12,5,7,0,2018,UNLV,244.2,0.783
114,2014,115,South Alabama,96.08,2015,115,Eastern Michigan,110.15,2016,115,Ohio,109.82,2017,115,North Texas,111.16,2014,Utah State,14,10,4,0,Utah State,13,6,7,0,Utah State,12,3,9,0,USC,14,11,3,0,2018,USC,171.8,0.295
115,2014,116,Central Michigan,91.2,2015,116,New Mexico,110.03,2016,116,Wyoming,109.65,2017,116,South Alabama,110.24,2014,UTEP,13,7,6,0,UTEP,12,5,7,0,UTEP,12,4,8,0,Utah,13,7,6,0,2018,Utah,220.8,0.541
116,2014,117,UNLV,91.15,2015,117,Troy,107.58,2016,117,Army,108.9,2017,117,UNLV,109.9,2014,UT San Antonio,12,4,8,0,UT San Antonio,12,3,9,0,UT San Antonio,13,6,7,0,Utah State,13,6,7,0,2018,Utah State,204.9,0.699
117,2014,118,UTEP,89.53,2015,118,Buffalo,103.21,2016,118,Buffalo,107.51,2017,118,New Mexico,109.85,2014,Vanderbilt,12,3,9,0,Vanderbilt,12,4,8,0,Vanderbilt,13,6,7,0,UTEP,12,0,12,0,2018,UTEP,11.3,0.323
118,2014,119,Charlotte,89.2,2015,119,Colorado State,101.72,2016,119,Charlotte,106.83,2017,119,Temple,108.13,2014,Virginia,12,5,7,0,Virginia,12,4,8,0,Virginia,12,2,10,0,UT San Antonio,11,6,5,0,2018,UT San Antonio,23.2,0.087
119,2014,120,UMass,87.9,2015,120,Army,100.83,2016,120,Old Dominion,106.63,2017,120,Army,106.37,2014,Virginia Tech,13,7,6,0,Virginia Tech,13,7,6,0,Virginia Tech,14,10,4,0,Vanderbilt,12,5,7,0,2018,Vanderbilt,215.0,0.611
120,2014,121,Army,87.22,2015,121,Idaho,98.54,2016,121,Eastern Michigan,102.89,2017,121,Louisiana,104.33,2014,Wake Forest,12,3,9,0,Wake Forest,12,3,9,0,Wake Forest,13,7,6,0,Virginia,13,6,7,0,2018,Virginia,101.9,0.441
121,2014,122,New Mexico State,86.79,2015,122,Hawai'i,98.16,2016,122,Yale,102.29,2017,122,Rice,101.12,2014,Washington,14,8,6,0,Washington,13,7,6,0,Washington,14,12,2,0,Virginia Tech,13,9,4,0,2018,Virginia Tech,236.7,0.688
122,2014,123,Kent State,86.65,2015,123,Air Force,98.02,2016,123,Idaho,101.42,2017,123,Eastern Michigan,100.97,2014,Washington State,12,3,9,0,Washington State,13,9,4,0,Washington State,13,8,5,0,Wake Forest,13,8,5,0,2018,Wake Forest,182.5,0.363
123,2014,124,Eastern Michigan,84.89,2015,124,Georgia State,90.61,2016,124,Louisiana Monroe,99.51,2017,124,Old Dominion,99.41,2014,Western Kentucky,13,8,5,0,Western Kentucky,14,12,2,0,Western Kentucky,14,11,3,0,Washington,13,10,3,0,2018,Washington,336.0,0.783
124,2014,125,Miami (OH),84.76,2015,125,New Mexico State,87.78,2016,125,UTEP,99.39,2017,125,Harvard,99.16,2014,Western Michigan,13,8,5,0,Western Michigan,13,8,5,0,Western Michigan,14,13,1,0,Washington State,13,9,4,0,2018,Washington State,215.1,0.481
125,2014,126,Louisiana Monroe,84.48,2015,126,Charlotte,86.91,2016,126,Coastal Carolina,97.11,2017,126,Coastal Carolina,96.51,2014,West Virginia,13,7,6,0,West Virginia,13,8,5,0,West Virginia,13,10,3,0,Western Kentucky,13,6,7,0,2018,Western Kentucky,100.2,0.22
126,2014,127,UT San Antonio,81.73,2015,127,Akron,82.38,2016,127,Georgia State,96.32,2017,127,Yale,95.54,2014,Wisconsin,14,11,3,0,Wisconsin,13,10,3,0,Wisconsin,14,11,3,0,Western Michigan,12,6,6,0,2018,Western Michigan,206.0,0.798
127,2014,128,Wyoming,80.87,2015,128,UTEP,73.03,2016,128,New Mexico State,94.49,2017,128,Kent State,94.88,2014,Wyoming,12,4,8,0,Wyoming,12,2,10,0,Wyoming,14,8,6,0,West Virginia,13,7,6,0,2018,West Virginia,201.7,0.64
